ID TIME BLK BLOCK UBI PAY BALANCE MEAN #VOTES #OKVOTES C? BCSIZE CPU BLOCKHASH
224 525 5 3 40 0 0.01 5000000 0 0 False 165949 17.1
224 553 5 4 40 0 0.01 5000000 0 0 False 165949 17.12
224 573 5 5 40 0 0.01 5000000 0 0 False 165949 17.13
224 680 6 6 0 0 60.01 5000000 0 0 False 167293 17.18
224 816 7 7 0 0 60.01 5000000 0 0 False 168336 17.23
224 1041 8 8 0 0 20.01 5000000 3 0 False 170247 17.32
224 1166 9 9 0 40 20.01 2995080 3 3 False 171696 17.35
224 1363 8 8 0 0 60.01 5000000 0 0 False 175012 17.43
224 1464 9 9 0 40 20.01 2995079 3 3 False 177326 17.46
224 1767 9 9 0 0 60.01 5000000 0 0 False 182338 17.61
224 1882 10 10 20 40 20.01 2995079 3 3 False 187400 17.67
224 2112 11 11 20 40 20.01 2995079 4 3 False 189290 17.77
224 2168 12 12 0 0 80.01 2995079 4 3 False 191079 17.81
224 2649 14 11 0 0 80.01 2995079 4 3 False 197920 18.01
224 2671 14 12 0 0 80.01 2995079 4 3 False 197920 18.02
224 2693 14 13 0 0 80.01 2995079 4 3 False 197920 18.03
224 2714 14 14 0 0 80.01 2995079 4 3 False 197920 18.04
224 3311 17 15 0 40 40.01 3139824 7 6 False 203319 18.25
224 3335 17 16 0 40 40.01 3139824 7 6 False 203319 18.26
224 3364 17 17 0 40 40.01 3139824 7 6 False 203319 18.27
224 3401 18 17 20 0 40.01 3139824 8 6 False 204855 18.3
224 3450 18 18 20 0 40.01 3139824 8 6 False 206618 18.32
224 3480 18 18 20 0 40.01 3139824 8 6 False 206722 18.34
224 3544 19 19 0 0 60.01 3139824 8 6 False 208066 18.35
224 4478 22 20 0 80 20.01 3141548 11 9 True 212908 18.54
224 4497 22 21 0 80 20.01 3141548 11 9 True 212908 18.54
224 4516 22 22 0 80 20.01 3141548 11 9 True 212908 18.55
224 4824 23 23 0 0 100.01 3141548 12 9 True 214702 18.57
224 4954 24 24 0 0 100.01 3117860 12 12 True 216043 18.64
224 5331 26 24 0 0 60.01 3117860 13 12 True 219871 18.8
224 5368 26 25 0 0 60.01 3117860 13 12 True 219871 18.82
224 5399 26 26 0 0 60.01 3117860 13 12 True 220016 18.84
224 5601 27 27 0 0 60.01 3117860 13 12 True 221059 18.93
224 5745 28 28 0 0 20.01 3117860 14 12 True 222297 18.95
224 6014 29 29 0 0 20.01 3117860 14 12 True 223340 19.04
224 6164 30 30 0 80 20.01 3073621 17 15 True 225210 19.07
