ID TIME BLK VOTE
214 61.885 7 1330935
214 252.042 19 2664000
214 291.295 21 2830832
214 304.319 22 None
214 348.012 24 None
214 392.528 25 None
214 476.344 33 3263116
214 495.596 34 3226618
214 527.458 36 None
214 586.96 40 3261134
214 633.128 43 3255223
214 676.912 46 3149127
214 723.897 49 3160377
214 767.548 52 3207058
214 813.085 55 3227735
214 858.23 58 3329831
214 900.819 61 3282245
214 946.832 64 3345310
214 993.366 67 3337536
214 1038.369 70 3358157
214 1082.352 73 3353902
214 1128.278 76 3346658
214 1172.894 79 3312288
214 1217.228 82 3348664
214 1263.173 85 3350942
214 1297.528 87 None
