ID TIME BLK VOTE
217 78.283 7 4025423
217 108.6 9 None
217 151.839 12 None
217 214.331 16 3812095
217 258.192 19 3734835
217 286.662 21 None
217 332.736 24 None
217 393.123 28 3132337
217 422.96 30 None
