ID TIME #BUFFER #GETH #ALLOWED BUFFERPEERS GETHPEERS ALLOWED
212 0.071 0 0 0   
212 5.335 1 2 1 114;210 114 210
212 8.474 2 3 3 109;114;210 114;109 114;109;210
212 11.565 0 1 1 210  210
212 14.684 0 2 2 109;210  210;109
212 17.811 0 1 1 210  210
