ID TIME BLK BLOCK UBI PAY BALANCE MEAN #VOTES #OKVOTES C? BCSIZE CPU BLOCKHASH
209 141 4 3 40 0 0.01 5000000 0 0 False 164559 16.23
209 169 4 4 40 0 0.01 5000000 0 0 False 164663 16.24
209 536 5 5 0 0 40.01 5000000 0 0 False 166007 16.38
209 695 6 6 20 0 40.01 5000000 0 0 False 167455 16.46
209 1068 7 6 0 0 20.01 5000000 3 0 False 170902 16.6
209 1087 7 7 0 0 20.01 5000000 3 0 False 170902 16.6
209 1342 10 7 20 40 20.01 2995080 3 3 False 181537 16.69
209 1366 10 8 20 40 20.01 2995080 3 3 False 181537 16.7
209 1387 10 9 20 40 20.01 2995080 3 3 False 181537 16.7
209 1412 10 8 20 40 20.01 2995080 3 3 False 181537 16.71
209 1447 10 8 20 40 20.01 2995080 3 3 False 181537 16.74
209 1482 10 10 20 40 20.01 2995080 3 3 False 181537 16.76
209 1733 9 9 20 0 40.01 5000000 0 0 False 185241 16.86
209 2047 11 10 0 40 0.01 2995079 4 3 False 192840 17.06
209 2087 11 10 0 40 0.01 2995079 4 3 False 192840 17.09
209 2116 11 11 0 40 0.01 2995079 4 3 False 192944 17.1
209 2240 12 12 0 40 0.01 2995079 4 3 False 194091 17.18
209 2350 13 13 0 0 40.01 2995079 4 3 False 196176 17.22
209 2649 14 14 0 0 40.01 2995079 4 3 False 197817 17.35
209 2759 15 15 0 0 0.01 2995079 6 3 False 199495 17.37
209 3148 16 16 0 0 0.01 2995079 6 3 False 200538 17.51
209 3318 17 17 0 80 0.01 3139824 7 6 False 203033 17.58
209 3816 20 18 20 0 80.01 3139824 8 6 False 208718 17.67
209 3836 20 19 20 0 80.01 3139824 8 6 False 208718 17.68
209 3862 20 20 20 0 80.01 3139824 8 6 False 208822 17.69
209 3882 20 20 20 0 80.01 3139824 8 6 False 208822 17.7
209 4330 21 21 20 0 80.01 3139824 8 6 False 210114 17.77
209 4455 22 22 0 40 60.01 3147587 11 9 True 212724 17.84
209 4848 23 22 0 0 20.01 3141548 12 9 True 217400 17.98
209 4868 23 23 0 0 20.01 3141548 12 9 True 217400 17.98
209 5119 24 24 0 0 20.01 3141548 12 9 True 218443 18.1
209 5157 25 25 0 80 20.01 3117860 12 12 True 219892 18.11
209 5300 26 26 0 0 100.01 3117860 13 12 True 221278 18.12
209 5459 27 27 0 0 100.01 3117860 14 12 True 222661 18.2
209 5762 28 27 0 0 60.01 3117860 16 12 True 225480 18.29
209 5781 28 28 0 0 60.01 3117860 16 12 True 225480 18.29
209 6078 29 28 0 0 100.01 3117860 14 12 True 228175 18.41
209 6099 29 29 0 0 100.01 3117860 14 12 True 228175 18.42
209 6327 30 30 0 0 100.01 3117860 14 12 True 229218 18.55
209 6431 31 31 0 40 20.01 3051948 18 15 True 231677 18.61
