ID TIME BLK CHAINDATASIZE %CPU
210 72.262 5 191748 16.77
210 117.394 5 191748 17.05
210 163.487 5 191748 17.26
210 207.484 6 195864 17.63
210 294.587 10 209473 18.68
210 301.465 10 209473 18.78
210 343.195 11 210828 19.24
210 387.334 12 211975 19.67
210 432.792 12 211975 19.95
210 508.123 18 226248 20.63
210 560.25 19 228853 20.96
210 570.874 19 228957 21.11
210 818.366 29 251533 22.9
210 820.16 29 251533 22.92
210 864.5 29 251533 23.11
210 910.626 29 251533 23.23
210 954.602 30 254824 23.51
210 999.631 30 254824 23.7
