ID TIME BLK #BLOCKS
224 15.168 5 1
224 57.023 7 2
224 65.494 8 1
224 76.919 9 1
224 92.383 10 1
224 127.315 11 1
224 142.144 12 1
224 157.999 13 1
224 185.993 14 1
224 188.282 15 1
224 206.812 16 1
224 236.295 16 1
224 238.306 17 1
224 252.627 18 1
224 257.967 18 1
224 267.641 19 1
224 282.543 20 1
224 296.524 21 2
224 312.294 22 1
224 317.308 22 1
224 326.332 23 1
224 341.774 24 1
224 346.114 24 1
224 356.463 25 1
224 372.799 26 1
224 387.221 27 2
224 401.885 28 1
224 417.666 29 1
224 432.029 30 1
