ID TIME BLK VOTE
211 63.457 44 2122302
211 224.901 51 None
211 316.043 56 1091051
211 330.978 57 1868798
211 421.97 59 2077735
211 423.96 59 None
211 484.266 64 2216911
211 551.419 66 2409517
211 558.536 66 None
211 603.567 66 None
211 769.451 79 None
211 777.741 80 2658818
211 820.921 83 2722129
211 869.306 85 2754859
211 913.111 88 2682605
211 972.567 92 2673959
211 1001.498 94 2711255
211 1070.967 97 2679214
211 1093.42 100 2650470
211 1150.997 103 2735338
211 1203.484 104 2714781
211 1222.476 105 None
211 1280.573 108 2802094
211 1328.438 111 2862140
211 1374.132 114 2895264
211 1418.184 117 2914444
211 1503.251 121 2837837
211 1626.868 121 None
