ID TIME BLK DETAIL
211 1591888643.15 34 SETUP: Synced Time
211 1591888644.164 34 SETUP: Peered to PC
211 1591888680.107 40 SETUP: Smart Contract Received at Block 40
211 13.774 40 STARTED EXPERIMENT
211 32.719 40 Added 222
211 36.675 40 Killed 222 @ age 2.49
211 54.736 42 Added 218
211 57.695 42 Killed 218 @ age 2.37
211 63.197 44 Voted: 0.2152317880794702; Status: 1
211 64.117 44 Added 214
211 68.109 44 Killed 214 @ age 2.24
211 74.115 44 Added 224
211 78.428 45 Killed 224 @ age 2.20
211 83.78 45 Added 224
211 91.369 45 Killed 224 @ age 2.15
211 101.64 45 Added 224
211 105.62 45 Killed 224 @ age 2.09
211 113.611 45 Added 224
211 116.576 45 Killed 224 @ age 2.18
211 125.648 46 Added 224
211 142.926 46 Killed 224 @ age 2.43
211 143.337 46 Added 224
211 147.924 46 Killed 224 @ age 2.26
211 159.579 46 Added 224
211 162.875 46 Killed 224 @ age 2.24
211 188.528 46 Added 209
211 191.608 51 Killed 209 @ age 2.22
211 197.035 51 Added 226
211 198.905 51 Added 218
211 200.454 51 Killed 226 @ age 2.28
211 202.243 51 Killed 218 @ age 2.46
211 224.858 51 Failed Vote (Unexpected). Balance: 100.02
211 230.518 51 Added 217
211 234.505 51 Killed 217 @ age 2.09
211 266.109 51 Added 226
211 272.814 55 Added 224
211 274.799 55 Killed 226 @ age 2.55
211 276.773 55 Killed 224 @ age 2.50
211 288.153 55 Added 214
211 292.803 55 Killed 214 @ age 2.53
211 303.128 55 Added 217
211 307.092 55 Killed 217 @ age 2.13
211 315.885 56 Voted: 0.18418141592920353; Status: 1
211 319.843 56 Added 218
211 322.145 56 Killed 218 @ age 2.27
211 330.907 57 Voted: 0.19863013698630136; Status: 1
211 373.416 57 Added 226
211 376.37 57 Killed 226 @ age 2.46
211 377.392 57 Added 213
211 382.076 57 Killed 213 @ age 2.57
211 384.315 58 Added 210
211 386.329 58 Killed 210 @ age 2.03
211 402.633 58 Added 210
211 417.865 58 Killed 210 @ age 2.13
211 421.374 59 Voted: 0.2128794093519278; Status: 1
211 423.642 59 Failed Vote (No Balance). Balance: 20.02
211 427.162 59 Added 214
211 431.165 60 Killed 214 @ age 2.01
211 448.082 60 Added 209
211 453.061 59 Killed 209 @ age 2.09
211 461.136 59 Added 213
211 464.115 59 Added 217
211 464.42 59 Killed 213 @ age 2.15
211 470.841 59 Killed 217 @ age 2.04
211 482.481 63 Added 213
211 484.21 64 Voted: 0.22669039145907474; Status: 1
211 484.819 64 Killed 213 @ age 2.20
211 488.879 64 Added 224
211 497.181 64 Added 214
211 497.283 64 Killed 224 @ age 2.07
211 500.162 64 Killed 214 @ age 2.29
211 503.661 64 Added 224
211 511.963 65 Killed 224 @ age 2.09
211 516.427 65 Added 213
211 521.728 65 Killed 213 @ age 2.49
211 542.127 65 Added 214
211 548.698 65 Killed 214 @ age 2.13
211 551.291 66 Voted: 0.2400373599003736; Status: 1
211 558.469 66 Failed Vote (No Balance). Balance: 20.02
211 570.719 66 Added 209
211 576.675 66 Killed 209 @ age 2.16
211 603.487 66 Failed Vote (No Balance). Balance: 20.02
211 615.113 66 Added 209
211 617.453 66 Killed 209 @ age 2.10
211 627.454 71 Added 217
211 634.102 72 Killed 217 @ age 2.55
211 634.784 72 Added 209
211 638.789 72 Killed 209 @ age 2.06
211 639.427 72 Added 209
211 687.708 74 Added 224
211 690.673 74 Killed 224 @ age 2.45
211 693.511 74 Added 222
211 697.1 75 Killed 222 @ age 2.47
211 724.928 77 Added 214
211 726.305 77 Added 218
211 728.292 77 Killed 214 @ age 2.43
211 731.728 77 Killed 218 @ age 2.65
211 737.995 77 Added 224
211 741.528 77 Killed 224 @ age 2.14
211 747.319 77 Added 222
211 750.639 78 Killed 222 @ age 2.12
211 769.354 79 Failed Vote (Unexpected). Balance: 100.02
211 772.706 79 Added 214
211 776.4 79 Killed 214 @ age 2.03
211 777.087 80 Voted: 0.26870598591549294; Status: 1
211 790.17 80 Added 224
211 792.559 81 Killed 224 @ age 2.22
211 793.562 81 Killed 209 @ age 2.44
211 794.701 81 Added 209
211 798.516 81 Killed 209 @ age 2.20
211 799.881 81 Added 226
211 804.114 81 Killed 226 @ age 2.39
211 810.477 81 Added 226
211 818.51 82 Killed 226 @ age 2.24
211 820.794 83 Voted: 0.2701747088186356; Status: 1
211 826.042 82 Added 209
211 827.981 82 Added 210
211 830.26 82 Killed 210 @ age 2.15
211 843.984 83 Added 218
211 846.652 83 Killed 218 @ age 2.14
211 869.102 85 Voted: 0.27256671899529045; Status: 1
211 883.698 86 Added 226
211 886.833 86 Killed 226 @ age 2.45
211 913.005 88 Voted: 0.269144564811356; Status: 1
211 929.744 89 Killed 209 @ age 2.56
211 933.085 89 Added 213
211 935.408 89 Killed 213 @ age 2.09
211 956.68 90 Added 209
211 970.036 91 Killed 209 @ age 2.08
211 970.449 91 Added 209
211 972.273 92 Voted: 0.26857042747021725; Status: 1
211 977.681 92 Added 210
211 980.272 92 Killed 210 @ age 2.29
211 982.656 92 Killed 209 @ age 2.55
211 994.003 92 Added 217
211 996.315 92 Killed 217 @ age 2.16
211 1001.279 94 Voted: 0.27252635158109484; Status: 1
211 1013.961 94 Added 222
211 1014.592 94 Added 209
211 1016.227 94 Killed 222 @ age 2.11
211 1021.301 95 Killed 209 @ age 2.03
211 1023.108 95 Added 209
211 1027.085 95 Killed 209 @ age 2.37
211 1060.598 96 Added 222
211 1063.269 96 Killed 222 @ age 2.28
211 1070.805 97 Voted: 0.26318297331639134; Status: 1
211 1081.196 99 Added 214
211 1086.145 99 Killed 214 @ age 2.60
211 1086.55 99 Added 209
211 1087.23 99 Added 226
211 1090.992 99 Killed 226 @ age 2.07
211 1092.377 100 Voted: 0.2679850513858611; Status: 1
211 1100.404 100 Added 213
211 1104.717 100 Killed 213 @ age 2.35
211 1114.329 101 Added 217
211 1118.259 101 Killed 217 @ age 2.46
211 1121.242 101 Killed 209 @ age 2.03
211 1131.929 102 Added 224
211 1135.91 102 Killed 224 @ age 2.44
211 1144.553 102 Added 222
211 1148.55 102 Killed 222 @ age 2.51
211 1150.674 103 Voted: 0.27488921713441655; Status: 1
211 1178.8 103 Added 218
211 1182.095 103 Killed 218 @ age 2.12
211 1195.201 103 Added 209
211 1202.862 104 Voted: 0.2740248728094969; Status: 1
211 1222.191 105 Failed Vote (No Balance). Balance: 140.02
211 1228.955 105 Killed 209 @ age 2.43
211 1239.482 106 Added 213
211 1242.789 106 Killed 213 @ age 2.19
211 1254.735 106 Added 209
211 1278.542 107 Added 217
211 1280.431 108 Voted: 0.2856195277261873; Status: 1
211 1283.905 108 Killed 217 @ age 2.34
211 1289.538 108 Added 224
211 1294.032 108 Killed 224 @ age 2.02
211 1326.481 110 Killed 209 @ age 2.51
211 1328.299 111 Voted: 0.28964194373401536; Status: 1
211 1366.104 111 Added 209
211 1373.933 114 Voted: 0.29137845849802374; Status: 1
211 1375.112 114 Killed 209 @ age 2.31
211 1375.845 114 Added 222
211 1376.33 114 Added 209
211 1379.282 114 Killed 209 @ age 2.37
211 1379.747 114 Added 209
211 1380.575 114 Killed 222 @ age 2.58
211 1390.893 115 Added 213
211 1391.488 115 Killed 209 @ age 2.87
211 1396.015 115 Killed 213 @ age 2.84
211 1417.696 117 Added 214
211 1417.905 117 Voted: 0.28809295639674176; Status: 1
211 1420.731 117 Killed 214 @ age 2.44
211 1422.77 117 Added 214
211 1427.466 117 Added 209
211 1428.128 117 Killed 214 @ age 2.33
211 1434.853 118 Killed 209 @ age 2.50
211 1448.404 118 Added 222
211 1452.087 119 Killed 222 @ age 2.51
211 1489.125 119 Added 222
211 1491.162 119 Added 226
211 1492.122 119 Killed 222 @ age 2.39
211 1493.62 119 Added 224
211 1495.987 119 Killed 224 @ age 2.04
211 1497.43 119 Killed 226 @ age 2.64
211 1502.57 120 Voted: 0.2883789283291883; Status: 1
211 1518.651 121 Added 222
211 1521.978 121 Killed 222 @ age 2.19
211 1626.818 121 Failed Vote (Unexpected). Balance: 100.02
211 1636.027 121 Added 224
211 1638.358 121 Added 210
211 1640.065 121 Killed 224 @ age 2.15
211 1640.772 123 Added 224
211 1643.066 125 Killed 224 @ age 2.00
211 1644.556 125 Killed 210 @ age 2.53
211 1646.354 125 Added 222
211 1650.693 125 STOPPED EXPERIMENT
211 1650.736 125 Killed 222 @ age 2.78
