ID TIME BLK CHAINDATASIZE %CPU
224 53.576 4 195865 62.58
224 136.284 11 225212 63.29
224 165.022 13 235947 63.71
224 207.115 16 246088 64.31
224 236.714 18 248181 64.72
224 286.585 19 251019 65.38
224 339.909 24 287569 66.07
224 383.984 27 292419 66.61
224 421.679 29 306350 67.07
224 488.631 34 324856 67.8
224 517.297 35 334056 68.12
224 557.162 38 349003 68.56
224 602.756 41 362780 69.06
224 648.272 44 383908 69.53
224 693.942 47 410589 69.99
224 741.429 50 434638 70.46
224 787.467 53 451835 70.89
224 825.73 56 461415 71.23
224 866.865 58 472309 71.59
224 918.477 62 501889 71.86
224 964.251 65 513550 71.99
224 1012.144 68 529442 72.21
224 1055.796 71 553057 72.57
224 1115.458 75 569582 73.04
224 1218.941 82 593491 73.54
224 1232.24 83 602603 73.64
224 1278.561 86 618452 73.83
224 1322.97 89 633705 74.15
