ID TIME BLK VOTE
224 52.232 4 None
224 134.584 11 2675276
224 162.142 13 3362068
224 205.114 16 2994296
224 234.566 17 None
224 283.221 19 None
224 336.735 24 3136061
224 382.511 27 2973632
224 419.355 29 None
224 487.525 34 2847604
224 514.821 35 2786476
224 555.338 38 None
224 600.996 41 2970266
224 646.579 44 3221722
224 692.291 47 3239916
224 739.066 50 3329226
224 784.717 53 3366775
224 825.444 56 3373840
224 865.842 58 None
224 917.593 62 3401266
224 963.269 65 3367768
224 1010.499 68 3283822
224 1054.347 71 3197197
224 1113.191 75 3189993
224 1217.711 81 3242605
224 1231.375 83 3153376
224 1276.407 86 3117812
224 1322.213 89 3057661
