ID TIME #BUFFER #GETH #ALLOWED BUFFERPEERS GETHPEERS ALLOWED
103 0.114 1 0 0  208 
103 2.301 1 1 1 208 208 208
103 4.383 1 2 2 208;101 208 208;101
103 6.548 1 1 1 101 101 101
103 8.752 0 0 0   
103 10.961 0 0 0   
103 13.162 0 0 0   
103 15.368 0 0 0   
103 17.614 1 1 0 118 118 
