ID TIME BLOCK BALANCE UBI PAY #ROBOT MEAN #VOTES #OKVOTES R? C?
103 7.648 3 21.00 0 0 13 0 0 0 False False
103 9.358 4 21.00 0 0 13 0 0 0 False False
