ID TIME BLK VOTE
210 52.112 4 None
210 116.563 10 2933579
210 143.294 10 None
210 206.204 16 2640977
210 238.076 18 2387048
210 286.989 21 None
210 335.322 24 2480577
210 383.696 27 2305825
210 421.006 29 None
210 462.042 32 None
210 529.192 36 2796123
210 557.68 38 2731788
210 601.206 41 2851466
210 649.725 44 2760090
210 692.097 47 2802869
210 738.194 50 2828467
210 785.103 53 2828467
210 827.794 56 2810880
210 875.492 59 2825665
210 918.096 62 2752062
210 962.528 65 2720397
210 1008.035 68 2663532
210 1053.166 71 2646601
210 1097.279 74 2560162
210 1156.625 77 2584805
210 1188.753 80 2709318
210 1233.065 83 2646677
210 1294.68 87 2594383
210 1322.117 89 2611782
