ID TIME BLK CHAINDATASIZE %CPU
224 65.438 6 213407 44.49
224 100.692 8 217700 45.73
224 154.06 12 250234 47.43
224 223.341 16 271267 49.48
224 252.022 18 276020 50.38
224 291.55 21 298813 51.59
224 330.111 23 306958 52.7
224 388.934 27 323511 54.25
224 430.071 30 342757 55.27
224 459.292 31 367087 55.97
224 519.162 36 383255 56.7
224 565.746 39 400210 57.36
224 608.553 42 421128 58.28
224 669.704 46 431004 59.22
224 702.503 48 440415 59.85
224 748.426 51 458076 60.71
224 791.791 54 476125 61.49
224 841.173 57 512067 62.35
224 883.223 60 530054 63.04
