ID TIME BLK %CPU CHAINDATASIZE
217 154.22 10 201679 18.2
217 167.465 11 206053 18.42
217 201.454 12 207397 18.61
217 246.596 12 207397 18.68
217 291.836 12 207397 18.77
217 336.623 17 226285 19.39
217 381.838 17 226285 19.68
217 428.104 18 226285 19.92
217 524.438 25 254031 20.84
217 592.192 26 257842 21.43
217 595.311 26 257842 21.48
217 638.391 28 267218 21.7
217 800.574 38 289433 22.9
217 838.978 39 291303 23.23
217 911.218 42 302702 23.89
217 915.994 42 302702 23.95
217 957.724 43 303953 24.17
217 1002.728 43 303953 24.32
