ID TIME BLK #BLOCKS
217 16.91 3 2
217 44.308 4 2
217 49.215 5 1
217 95.087 6 1
217 102.964 8 2
217 110.917 9 1
217 122.018 10 1
217 129.002 10 1
217 139.31 11 1
217 153.304 12 1
217 169.38 13 1
217 173.697 13 1
217 183.712 14 1
217 198.831 15 1
217 214.218 16 1
217 227.625 17 1
217 243.362 18 1
217 265.836 19 1
217 283.017 20 2
217 305.462 22 2
217 324.006 23 1
217 340.499 24 2
217 356.465 25 1
217 364.026 26 2
217 377.761 27 1
217 393.718 28 1
217 408.061 29 1
217 425.879 30 2
217 463.268 32 2
