S1 S2 S3
0 0 0
114 125 76
135 149 86
140 154 83
131 141 68
139 154 88
133 142 68
130 143 68
129 143 68
128 145 68
130 146 66
131 148 67
132 148 70
133 145 67
133 148 68
114 128 76
137 150 70
132 147 72
131 146 71
134 150 77
131 147 75
132 148 72
133 152 75
139 162 82
141 156 88
140 154 84
141 157 83
132 149 74
132 152 76
138 157 84
131 152 76
138 155 84
140 156 86
140 158 83
140 157 84
135 150 71
135 150 71
136 152 73
137 153 76
140 156 81
141 157 85
139 154 88
957 958 730
945 947 826
947 949 832
958 959 759
958 957 643
960 959 868
959 959 876
865 809 117
167 158 88
131 150 86
140 159 82
135 155 74
140 156 78
137 157 79
135 154 76
132 157 79
136 158 85
136 157 78
130 146 326
125 143 84
125 140 321
117 133 76
133 153 73
135 154 75
134 152 76
135 155 75
137 158 76
133 152 70
134 152 69
136 154 73
137 531 70
156 957 73
956 957 623
959 958 812
959 958 764
959 958 723
958 958 903
925 945 815
952 951 866
958 959 865
139 957 769
135 156 601
135 155 79
134 163 79
136 153 78
140 158 77
143 158 78
143 161 81
142 159 78
142 159 79
142 158 74
142 157 77
140 154 73
140 156 81
141 156 77
140 158 78
139 156 79
136 154 67
133 152 71
134 151 71
139 158 81
133 154 76
133 153 76
130 152 75
135 156 75
133 152 73
207 159 79
956 954 74
959 958 878
958 958 916
349 958 915
134 953 872
141 958 910
137 957 687
141 958 800
142 958 792
137 957 729
140 957 746
138 956 717
137 956 709
143 958 879
135 957 790
132 956 674
133 955 618
135 157 76
133 156 70
137 156 71
137 155 73
139 154 78
141 164 81
141 158 71
143 956 627
141 957 620
140 957 684
142 958 703
143 957 674
143 958 740
142 958 792
143 958 902
138 160 78
138 155 78
134 156 75
142 158 76
137 157 71
147 163 84
142 160 79
136 156 73
134 153 70
136 153 71
141 158 72
141 161 73
147 165 77
146 163 79
146 162 77
143 160 71
145 162 71
149 167 83
122 137 82
148 164 76
150 167 89
143 160 73
146 163 76
147 166 85
141 161 79
142 162 86
146 162 79
134 152 72
139 157 70
142 160 76
139 159 71
143 161 90
140 158 76
141 156 71
141 155 69
140 159 74
140 156 73
141 157 72
143 160 78
139 156 73
138 158 90
143 161 90
142 158 76
142 161 640
137 158 788
136 156 796
141 169 849
141 948 767
140 959 611
135 956 902
136 955 796
908 895 730
958 958 807
958 956 725
958 957 757
958 958 757
957 958 836
957 958 797
955 956 802
959 161 129
958 160 90
958 159 88
379 158 78
141 163 79
145 158 79
134 153 88
138 156 88
141 159 81
139 156 74
135 156 68
139 155 73
136 154 70
142 158 72
142 157 78
142 160 73
138 159 78
143 161 82
139 158 74
140 154 73
140 157 69
141 162 79
138 154 75
137 154 70
138 159 76
140 160 82
142 162 86
135 157 73
142 161 83
142 160 88
142 160 83
140 159 79
139 160 78
140 154 170
957 957 652
958 957 640
958 957 629
956 957 623
956 957 609
959 959 874
958 959 858
958 958 825
957 956 797
957 956 832
955 956 785
956 956 640
956 957 645
959 958 911
156 956 609
137 956 666
142 958 143
140 160 75
142 158 74
141 160 81
140 159 76
137 157 74
132 152 68
138 154 74
134 152 71
131 150 69
131 149 67
131 152 67
132 154 67
132 152 72
136 155 71
137 160 83
952 141 81
956 160 70
955 955 71
956 165 68
138 153 69
134 152 68
140 161 86
132 151 67
137 150 68
133 154 65
133 153 69
135 151 76
129 153 73
129 150 73
133 150 71
132 955 602
909 956 711
958 957 721
959 958 727
958 958 696
958 958 706
958 957 730
958 958 728
958 958 732
957 958 87
957 712 84
956 157 82
135 155 74
133 153 69
139 153 73
140 155 76
141 158 76
143 158 76
140 157 74
954 158 77
956 881 73
956 943 76
956 154 70
137 158 79
134 154 70
137 154 71
135 153 71
136 154 69
136 154 69
134 153 88
140 159 75
139 156 73
138 156 73
511 180 73
957 956 71
958 957 337
956 956 606
956 956 662
955 955 591
958 958 88
137 158 86
134 154 69
141 161 85
143 161 82
142 158 79
136 154 73
135 154 73
140 158 79
133 153 73
137 156 76
135 155 77
138 157 78
138 159 82
138 157 79
138 158 79
140 156 78
207 159 83
222 194 88
204 240 89
194 220 139
211 233 132
197 227 122
191 210 98
198 216 108
197 220 111
194 232 121
209 236 143
382 226 141
954 230 128
903 216 130
214 213 112
217 230 94
218 239 93
218 230 142
213 237 142
191 228 130
214 225 140
192 216 123
193 221 140
188 199 123
210 231 143
216 232 105
213 206 88
142 159 86
140 159 88
134 150 67
138 159 73
141 161 84
138 156 78
140 158 79
139 157 78
138 154 73
140 157 70
142 161 82
139 153 67
137 153 67
137 156 71
133 152 67
137 158 73
139 156 74
137 156 76
135 156 79
135 154 79
138 155 79
132 155 73
134 156 75
137 156 77
236 154 74
955 156 76
956 156 74
957 193 74
958 954 78
959 957 79
957 956 591
956 956 590
942 931 757
950 948 260
806 143 76
140 134 76
121 139 79
117 134 76
122 140 79
145 160 86
138 158 73
136 153 72
138 156 74
138 156 70
137 153 68
139 159 88
142 161 86
139 152 73
140 156 77
136 154 76
138 157 77
137 154 83
138 157 74
140 158 88
142 158 76
138 157 88
117 135 78
142 158 78
116 134 77
133 151 68
135 156 75
141 161 84
138 160 77
133 158 72
131 146 86
124 139 79
143 161 88
143 160 84
135 151 75
136 153 75
134 154 71
133 154 72
134 154 73
139 155 76
137 153 75
137 155 79
142 160 81
140 160 84
143 162 81
134 151 88
142 160 87
140 156 76
517 158 88
957 157 88
143 160 89
142 161 88
135 158 81
141 162 84
142 160 84
142 160 83
124 140 82
137 158 88
134 154 71
140 158 74
139 155 66
142 158 73
143 161 79
143 163 86
130 148 87
128 145 84
232 162 86
141 158 78
142 163 79
142 159 84
140 159 75
140 156 75
140 155 76
140 157 78
958 955 676
959 956 674
958 958 810
958 958 838
958 958 807
956 957 773
958 958 79
149 158 81
116 131 71
138 155 88
138 156 78
118 136 77
141 162 76
143 165 85
143 162 77
139 172 76
140 158 75
143 162 79
141 158 73
142 161 77
139 158 71
143 164 83
