S1 S2 S3
957 420 687
967 472 766
964 444 709
968 482 769
964 453 711
556 438 709
412 436 700
397 428 689
391 421 677
380 406 662
369 393 647
365 387 640
360 384 631
367 386 631
379 398 651
397 416 670
397 409 661
406 412 659
958 485 697
458 512 794
454 485 971
457 474 975
458 969 975
967 970 975
968 970 975
968 969 975
457 969 975
447 475 975
426 448 723
431 440 706
435 449 728
430 460 745
433 456 761
438 464 760
430 462 755
407 430 681
383 396 646
412 421 820
391 406 655
374 384 644
359 377 628
359 383 645
363 391 659
363 391 653
372 402 674
381 411 681
386 415 681
403 422 683
394 413 664
403 421 677
409 428 677
413 428 679
423 435 676
392 403 655
378 394 640
379 397 655
405 430 713
465 493 793
471 495 790
465 494 788
460 496 788
467 495 791
457 492 783
449 490 788
462 493 789
463 499 809
462 492 788
461 492 793
640 440 731
905 408 644
947 951 645
906 932 929
879 914 963
892 934 965
884 930 958
780 505 643
387 391 655
365 394 665
364 392 654
354 374 628
356 379 640
394 433 702
365 391 653
377 398 676
369 385 640
375 384 635
392 391 630
404 398 636
417 409 640
406 412 653
407 409 650
453 437 687
965 679 670
966 963 671
966 964 968
965 966 972
964 967 975
967 969 975
967 969 762
964 483 781
436 475 781
378 438 761
371 402 687
362 385 644
367 386 642
355 376 618
359 373 621
353 369 614
356 372 628
364 381 645
376 394 649
388 402 666
376 397 652
399 432 668
397 415 682
418 446 716
413 433 701
367 393 640
358 376 632
348 371 617
463 486 783
345 363 617
421 452 742
455 492 799
441 474 774
401 440 733
387 424 710
449 482 778
425 438 727
383 399 666
383 408 681
380 399 657
398 416 684
389 401 674
401 420 689
360 378 635
353 367 615
345 361 610
343 434 957
342 491 959
342 358 959
348 364 926
352 370 627
463 489 791
390 406 664
442 468 741
451 487 757
457 500 795
446 476 783
451 478 764
451 471 776
439 470 757
356 374 628
355 374 623
350 369 615
349 370 618
351 370 619
346 366 615
347 366 612
349 369 618
353 373 626
358 381 635
372 391 642
381 399 650
388 402 646
401 399 659
962 410 654
965 959 675
961 409 645
387 391 645
364 377 629
356 371 625
357 370 624
359 375 626
370 387 647
359 381 629
360 381 633
360 381 634
366 385 634
377 397 649
378 395 654
382 403 659
384 399 655
382 401 661
378 399 653
365 387 640
359 378 626
353 366 614
348 366 614
347 367 614
349 365 615
349 365 616
792 367 617
906 836 622
930 943 960
942 952 732
951 608 650
765 395 649
455 473 764
403 423 701
466 499 796
418 435 699
399 415 669
956 420 684
961 450 675
463 406 659
387 398 660
370 394 666
380 404 671
382 406 677
406 434 708
419 450 737
418 452 728
469 492 776
450 487 792
382 406 677
384 399 652
361 379 630
355 369 617
352 364 612
354 369 612
360 375 617
377 391 634
382 393 640
377 392 654
377 391 655
368 388 651
371 393 654
377 401 663
379 406 664
375 401 656
364 388 645
356 379 636
354 374 632
352 367 621
355 372 623
351 372 633
358 378 632
358 377 627
460 491 767
462 492 791
385 407 663
464 490 783
461 495 785
440 480 774
461 476 785
965 489 763
955 960 969
967 969 975
962 962 967
962 962 795
968 969 975
967 969 974
965 966 695
967 460 705
466 445 695
433 438 700
437 463 747
431 463 735
426 447 721
407 428 688
394 413 679
379 396 641
444 476 714
463 475 760
458 480 765
477 492 768
961 424 687
960 953 692
945 952 793
935 949 966
921 944 966
