ID TIME BLK %CPU CHAINDATASIZE
218 18.979 5 186172 31.92
218 29.119 5 186172 31.92
218 39.003 5 186172 31.92
218 49.342 5 186172 31.93
218 182.635 11 213212 32.4
218 209.512 13 219660 32.53
218 236.747 14 223810 32.63
218 237.503 14 223810 32.63
218 247.135 14 223810 32.63
218 257.164 14 223810 32.62
218 267.183 14 223810 32.61
218 277.706 16 230254 32.64
218 287.489 17 233267 32.71
218 297.163 17 233371 32.75
218 307.201 17 233371 32.74
218 317.698 17 233371 32.79
218 327.202 17 233371 32.83
218 368.275 21 254466 33.04
218 385.803 22 261632 33.15
218 387.777 22 261632 33.16
218 397.387 22 261736 33.22
218 436.501 25 273081 33.42
218 437.532 25 273081 33.43
218 447.171 26 274928 33.48
218 457.161 26 274928 33.5
218 467.164 26 274928 33.48
218 477.303 26 274928 33.51
218 487.429 26 274928 33.51
218 497.228 26 274928 33.53
218 507.243 26 274928 33.55
218 517.459 26 274928 33.56
