ID TIME BLK CHAINDATASIZE %CPU
214 67.004 6 198498 51.58
214 105.593 8 205947 52.23
214 144.982 11 213680 52.55
214 197.466 15 238819 53.07
214 247.998 18 256703 53.56
214 288.687 21 276036 54.17
214 337.342 24 288847 54.47
214 374.533 26 297458 54.99
214 433.428 30 307051 55.46
214 470.899 33 312229 55.94
214 518.648 36 325941 56.58
214 560.477 39 336649 57.14
214 605.984 42 347541 57.72
214 652.737 45 355869 58.31
214 710.251 49 370413 59.01
214 756.301 52 376340 59.3
214 801.944 55 385448 59.68
214 842.31 57 392384 59.93
