ID TIME BLK CHAINDATASIZE %CPU
214 66.907 6 221063 52.87
214 106.07 8 225044 54.37
214 154.13 12 258382 56.14
214 200.471 15 280816 57.68
214 244.731 18 289709 59.07
214 290.121 21 304445 60.41
214 351.284 25 321320 61.93
214 380.169 27 326418 62.68
214 420.028 29 337132 63.66
214 462.926 31 370436 64.66
214 517.618 36 387840 65.64
214 567.337 39 405110 66.59
214 609.726 42 428432 67.4
214 670.229 46 444592 68.49
214 701.648 48 452479 69.04
214 750.117 51 472694 69.83
214 791.451 54 487731 70.49
214 838.839 57 522763 71.21
214 885.114 60 540743 71.89
