ID TIME BLK CHAINDATASIZE %CPU
214 56.519 2 177893 6.44
214 101.612 3 180694 6.83
214 146.679 3 180694 7.37
214 191.664 3 180694 7.8
214 287.426 10 197735 9.19
214 329.871 12 211291 10.01
214 339.282 12 211395 10.21
214 517.056 21 242219 12.53
214 520.379 21 242219 12.59
214 564.057 21 243170 12.82
214 621.513 27 254981 13.56
214 654.189 27 254981 13.66
214 701.512 30 270690 14.22
214 743.469 30 270794 14.72
214 895.957 38 291256 16.63
214 926.179 39 293677 17.14
214 947.661 40 296261 17.43
214 987.465 40 296365 17.75
