ID TIME BLK CHAINDATASIZE %CPU
226 63.089 7 212969 63.53
226 105.541 9 227235 64.06
226 289.431 21 269303 65.83
226 301.372 22 275986 65.98
226 337.087 24 294020 66.4
226 394.618 28 304603 66.79
226 426.146 30 315215 66.75
226 489.723 34 332312 67.15
226 527.729 36 348218 67.59
226 570.306 39 359477 67.99
226 617.548 42 376098 68.14
226 663.231 45 404379 68.47
226 709.817 48 423595 68.95
226 755.118 51 438599 69.41
226 801.282 54 456436 69.85
226 847.113 57 469036 70.28
226 891.17 60 489736 70.68
226 934.381 63 503155 71.07
226 981.839 66 514864 71.48
226 1025.746 69 539121 71.85
226 1096.516 74 551763 72.35
226 1111.836 75 560962 72.44
226 1157.214 78 577908 72.8
226 1204.719 81 596814 73.15
226 1264.767 85 616286 73.6
226 1291.353 87 622524 73.78
226 1340.63 90 649471 74.13
