ID TIME BLK VOTE
226 61.636 7 3776978
226 102.834 9 None
226 287.461 21 3479112
226 299.731 22 3635817
226 336.156 24 None
226 394.381 28 3334849
226 425.763 29 None
226 487.906 34 3041727
226 526.747 36 3026139
226 569.922 39 2952586
226 616.936 42 2918564
226 662.404 45 3053050
226 708.243 48 3111056
226 753.263 51 3059179
226 799.004 54 3112831
226 844.775 57 3207983
226 889.133 60 3170000
226 933.57 63 3014454
226 979.094 66 2978993
226 1023.439 69 3028144
226 1095.27 73 3087304
226 1111.493 75 3100861
226 1156.303 78 3119251
226 1203.35 81 3204069
226 1263.468 85 3157220
226 1290.766 87 3259554
226 1339.721 90 3320499
