ID TIME #BUFFER #GETH #ALLOWED BUFFERPEERS GETHPEERS ALLOWED
108 0.171 1 0 0  104 
108 2.312 1 1 1 104 104 104
108 4.576 1 2 2 104;210 104 210;104
108 6.669 1 2 2 104;210 104 210;104
108 8.891 2 1 1 104 210;104 104
108 16.102 1 2 2 104;211 104 104;211
108 18.138 1 1 1 214 214 214
