ID TIME BLK %CPU CHAINDATASIZE
213 56.687 10 173300 24.95
213 153.505 16 190840 25.77
213 156.923 16 190840 25.81
213 499.476 30 223190 28.06
213 504.09 30 223190 28.11
213 558.319 34 231486 28.58
213 596.135 36 247809 28.99
213 660.28 41 264060 29.66
213 711.142 44 278236 29.98
213 781.541 48 293687 30.63
213 801.647 50 302423 30.83
213 920.015 55 322274 31.57
213 989.443 58 327852 31.9
213 996.776 59 330247 31.97
213 1102.551 65 347098 32.49
213 1147.141 67 365670 32.8
213 1281.572 72 378413 33.34
