ID TIME BLK VOTE
213 63.008 7 2122302
213 97.548 7 None
213 143.702 11 None
213 206.942 16 3317580
213 251.411 19 2955927
213 279.776 19 None
213 337.786 24 2955531
213 397.643 28 2619274
213 417.131 29 None
213 471.894 33 2813935
213 502.989 34 None
213 557.226 38 2729299
213 602.399 41 2799647
213 650.322 44 2792669
213 693.644 47 2701799
213 737.706 50 2818225
213 784.693 53 2807535
213 828.761 56 2968615
213 875.226 59 2914971
213 917.066 62 3005791
213 961.313 65 3026611
213 1035.703 69 3026611
213 1051.397 71 3026611
213 1097.046 74 3026611
213 1140.937 77 3026611
213 1187.379 80 3026611
213 1233.79 83 3080954
213 1294.586 87 3130179
213 1325.173 89 3084965
