ID TIME BLK %CPU CHAINDATASIZE
226 57.583 11 174661 25.5
226 107.84 14 182995 25.92
226 147.814 15 185600 26.0
226 191.254 18 194594 26.35
226 275.689 22 211024 26.94
226 282.102 22 211128 26.99
226 327.178 23 213573 27.24
226 371.404 24 220237 27.31
226 417.345 24 221280 27.49
226 519.338 30 241221 27.96
226 523.918 30 241221 28.01
226 572.599 34 249625 28.21
226 611.524 37 265711 28.62
226 678.563 42 289766 29.17
226 725.995 45 306795 29.62
226 769.644 48 315618 29.86
226 799.708 50 321169 30.16
226 980.266 58 342755 30.92
226 983.243 58 342755 30.95
226 1026.294 59 344110 31.16
226 1071.382 59 344110 31.23
226 1146.658 67 378241 31.69
226 1273.454 71 387470 32.51
226 1350.524 75 405962 32.83
226 1354.254 75 405962 32.86
