ID TIME BLK VOTE
222 50.976 4 None
222 108.705 10 2207547
222 147.2 12 None
222 201.938 16 2431102
222 260.076 20 2841845
222 290.764 22 3150782
222 327.253 24 None
222 380.047 28 3429621
222 422.744 31 3187269
222 460.688 33 None
