ID TIME BLK #BLOCKS
209 39.107 4 1
209 51.411 5 1
209 125.398 5 1
209 174.108 5 2
209 184.079 6 1
209 235.491 7 2
209 242.865 8 1
209 274.135 7 1
209 279.222 9 2
209 295.612 10 1
209 312.757 11 1
209 413.92 12 2
209 464.929 15 3
209 495.427 17 1
209 506.55 18 4
209 547.322 19 1
209 684.431 20 1
209 734.682 22 1
209 738.974 25 3
209 774.85 27 1
209 780.316 27 1
209 791.783 28 1
209 867.483 29 1
209 874.555 30 2
209 935.406 30 1
209 1014.222 31 1
209 1044.044 32 1
209 1048.602 33 1
209 1059.225 34 1
209 1075.534 35 1
