ID TIME BLK BLOCK UBI PAY BALANCE MEAN #VOTES #OKVOTES C? BCSIZE CPU BLOCKHASH
224 173 4 3 40 0 0.01 5000000 0 0 False 165382 18.79
224 192 4 4 40 0 0.01 5000000 0 0 False 165382 18.8
224 619 6 5 20 0 40.01 5000000 2 0 False 170643 19.1
224 640 6 6 20 0 40.01 5000000 2 0 False 170643 19.12
224 659 6 6 20 0 40.01 5000000 2 0 False 170643 19.13
224 678 7 6 0 0 60.01 5000000 2 0 False 171987 19.14
224 700 7 7 0 0 60.01 5000000 2 0 False 171987 19.15
224 905 8 8 0 0 60.01 5000000 2 0 False 174224 19.32
224 945 8 8 0 0 60.01 5000000 2 0 False 174369 19.36
224 1000 9 9 0 0 20.01 5000000 3 0 False 175711 19.43
224 1302 9 9 0 0 60.01 5000000 2 0 False 178027 19.6
224 1410 10 10 20 40 20.01 2557160 3 3 False 180064 19.68
224 1770 12 11 20 40 20.01 2557160 3 3 False 185237 19.88
224 1848 12 12 0 0 80.01 2557160 3 3 False 185237 19.98
224 2167 13 12 0 0 80.01 2557160 3 3 False 188837 20.26
224 2210 13 13 0 0 80.01 2557160 3 3 False 188837 20.31
224 2372 15 14 0 0 80.01 2557160 7 3 False 192095 20.5
224 2413 15 15 0 0 80.01 2557160 7 3 False 192095 20.55
224 2836 17 16 0 0 40.01 2821338 8 6 False 194972 20.8
224 2865 17 17 0 0 40.01 2821338 8 6 False 194972 20.83
224 3350 19 18 20 0 0.01 2821338 10 6 False 198988 21.22
224 3394 19 19 20 0 0.01 2821338 10 6 False 199092 21.26
224 3420 19 19 20 0 0.01 2821338 10 6 False 199092 21.28
224 3976 21 20 20 0 0.01 2821338 9 6 False 203241 21.52
224 3995 21 21 20 0 0.01 2821338 9 6 False 203241 21.53
224 4013 21 21 20 0 0.01 2821338 9 6 False 203241 21.53
224 4110 22 22 0 80 20.01 2576359 12 9 False 206251 21.6
224 4569 23 23 0 80 20.01 2576359 12 9 False 207398 21.97
224 4591 24 24 0 0 100.01 2737242 12 12 True 209336 21.98
224 4740 24 24 0 80 20.01 2576359 12 9 False 210920 21.99
224 4783 25 25 0 0 100.01 2737242 12 12 True 213303 22.0
