ID TIME BLK CHAINDATASIZE %CPU
213 66.902 6 219533 45.16
213 103.982 8 223945 46.54
213 153.461 12 257139 48.26
213 201.078 15 272615 49.63
213 257.089 19 283390 50.31
213 287.134 20 290478 51.06
213 335.307 24 312596 52.43
213 390.818 27 324459 53.94
213 428.698 30 341252 54.71
213 460.911 32 369700 55.5
213 520.844 36 389705 56.87
213 566.687 39 405850 57.89
213 612.302 42 435569 58.86
213 671.605 46 447920 60.02
213 724.05 49 462135 60.88
213 744.786 51 468047 61.26
213 807.258 55 488665 61.25
213 837.542 57 502305 61.78
213 884.681 60 524380 62.57
