ID TIME #BUFFER #GETH #ALLOWED BUFFERPEERS GETHPEERS ALLOWED
210 0.113 1 0 0  104 
210 6.877 2 2 2 114;212 114;104 212;114
210 13.028 2 4 4 108;104;114;212 108;104 108;104;212;114
210 18.671 1 1 1 212 104 212
