ID TIME BLK VOTE
224 91.437 46 1258992
224 210.882 51 1368613
224 222.597 53 2332775
224 378.689 53 None
224 412.37 59 2486313
224 486.687 63 2733549
224 502.927 65 2699364
224 546.013 67 2669464
224 617.765 71 2793942
224 632.001 72 2713029
224 678.329 74 2525588
224 741.41 77 2567114
224 791.723 81 2513525
224 820.756 83 2662558
224 853.167 84 2613682
224 899.746 87 2589694
224 943.334 90 2465479
224 989.25 93 2470527
224 1061.14 97 2514920
224 1094.482 100 2619803
224 1123.088 102 2569296
224 1183.055 105 2610541
224 1221.122 105 2631801
224 1282.285 108 2593248
224 1320.849 110 2561103
224 1361.158 113 2549492
224 1401.275 116 2633840
224 1452.907 119 2588669
224 1516.274 122 2645972
224 1583.593 123 2711504
224 1598.44 124 2729520
