ID TIME BLK #BLOCKS
218 16.195 3 1
218 29.066 3 1
218 44.611 4 2
218 68.74 6 5
218 107.113 9 3
218 125.551 10 2
218 136.985 11 1
218 140.411 11 2
218 152.73 12 1
218 179.666 13 2
218 192.347 14 1
218 219.765 14 1
218 224.984 16 2
218 241.079 17 1
218 256.826 18 2
218 299.43 21 4
218 337.773 24 4
218 363.208 26 1
218 366.965 26 1
218 377.627 27 1
218 411.553 28 3
218 419.033 29 1
218 430.028 30 9
218 527.14 36 9
218 611.477 42 11
218 681.874 46 7
218 700.981 47 1
218 719.477 49 2
218 744.702 51 2
218 761.567 52 5
218 831.048 56 7
