ID TIME BLK CHAINDATASIZE %CPU
213 79.851 7 178295 48.03
213 97.016 7 178295 47.99
213 142.005 10 182813 48.05
213 190.212 13 187560 47.92
213 238.272 16 195202 48.06
213 314.598 21 207174 48.68
213 322.645 21 207278 48.77
213 367.514 24 218159 49.08
213 412.877 27 224116 49.19
213 458.817 28 227318 49.11
213 502.675 29 228361 48.9
213 547.349 32 233151 49.07
213 592.299 34 236938 49.02
213 638.029 34 236938 49.01
213 682.99 34 236938 49.18
213 728.391 36 243186 49.32
213 774.484 39 251736 49.38
213 816.561 39 251736 49.15
213 861.648 39 251736 48.84
213 906.694 39 251736 48.54
213 951.769 45 261970 48.57
213 1001.045 47 266224 48.72
213 1041.677 48 269928 48.76
213 1086.991 52 274896 48.8
