ID  TIME     BLK CHAINDATASIZE %CPU 
211 65.578   7   203065        75.04
211 240.014  18  248900        77.07
211 255.926  19  250726        77.24
211 290.972  21  258773        77.62
211 335.199  23  273841        77.54
211 397.066  28  290599        78.07
211 443.102  31  307897        78.51
211 467.037  32  312316        78.73
211 518.368  35  327541        78.85
211 573.837  39  348819        79.36
211 620.344  42  367206        79.76
211 665.815  45  391539        80.14
211 712.956  48  410608        80.53
211 752.388  51  426690        80.83
211 797.31   54  445586        81.16
211 855.705  57  457688        81.56
211 887.078  60  471273        81.74
211 938.269  63  484785        81.33
211 981.994  66  497259        81.63
211 1028.537 69  521922        81.93
211 1057.494 71  532780        82.11
211 1116.834 75  548129        82.48
211 1158.339 78  575827        82.73
211 1204.464 81  593475        82.98
211 1266.348 85  613562        83.32
211 1292.6   87  619593        83.46
211 1337.508 90  641353        83.66
   
