ID TIME BLK #BUFFER #GETH #ALLOWED BUFFERPEERS GETHPEERS ALLOWED
226 6.094 3 0 0 0   
226 8.482 3 0 0 0   
226 10.504 3 0 0 0   
226 12.517 3 0 0 0   
226 14.525 3 0 0 0   
226 16.588 4 0 1 1 224  224
226 19.13 4 1 2 1 224;209 224 209
226 21.384 4 1 1 1 209 224 209
226 23.941 4 2 0 0  224;209 
226 26.238 4 1 0 0  209 
226 28.725 4 1 0 0  209 
226 30.876 4 1 1 1 213 209 213
226 33.398 4 2 0 0  213;209 
226 35.807 4 1 0 0  213 
226 38.312 5 1 0 0  213 
226 40.813 5 1 0 0  213 
226 43.333 5 1 0 0  213 
226 45.879 6 1 0 0  213 
226 48.346 6 1 0 0  213 
226 50.86 6 1 0 0  213 
226 53.352 6 1 0 0  213 
226 55.848 6 1 0 0  213 
226 58.374 6 0 0 0   
226 60.892 6 0 0 0   
226 63.404 6 0 0 0   
226 65.891 6 0 0 0   
226 67.914 6 0 0 0   
226 70.411 6 0 0 0   
226 72.434 6 0 0 0   
226 74.933 6 0 0 0   
226 77.526 6 0 1 0 224  
226 79.981 6 0 1 1 224  224
226 81.997 6 0 1 1 224  224
226 84.506 6 0 1 1 224  224
226 87.035 6 1 2 2 224;222 222 222;224
226 89.792 6 1 0 0  222 
226 92.217 9 1 1 1 222 222 222
226 94.856 9 1 1 1 222 222 222
226 97.488 9 1 1 1 222 222 222
226 100.158 9 1 0 0  222 
226 102.729 9 1 0 0  222 
226 105.159 9 1 0 0  222 
226 107.664 9 0 0 0   
226 110.156 9 0 0 0   
226 112.173 9 0 0 0   
226 114.202 9 0 0 0   
226 116.702 9 0 0 0   
226 119.213 9 0 0 0   
226 121.715 9 0 0 0   
226 124.224 9 0 0 0   
226 126.294 11 1 1 0 218 218 
226 128.876 11 1 0 0  218 
226 130.945 11 1 0 0  218 
226 133.3 11 1 1 1 218 218 218
226 135.527 11 1 1 1 218 218 218
226 138.023 11 1 1 1 218 218 218
226 140.527 12 1 1 1 218 218 218
226 142.692 12 1 2 2 218;209 218 209;218
226 145.222 12 1 1 0 209 218 
226 147.92 12 2 1 1 209 209;218 209
226 150.276 12 2 1 1 209 209;218 209
226 152.924 12 2 1 1 209 209;218 209
226 155.661 12 2 1 1 209 209;218 209
226 157.886 12 2 0 0  209;218 
226 160.156 13 1 0 0  209 
226 162.688 13 0 0 0   
226 164.718 13 0 0 0   
226 167.238 13 0 1 1 209  209
226 169.727 13 0 1 0 209  
226 172.284 13 0 0 0   
226 174.744 13 0 0 0   
226 177.261 13 0 0 0   
226 179.763 13 0 0 0   
226 182.291 13 0 0 0   
226 184.783 13 0 0 0   
226 186.798 13 0 0 0   
226 189.309 13 0 0 0   
226 191.434 13 1 1 1 210 210 210
226 193.874 13 1 1 1 210 210 210
226 196.451 13 1 1 1 210 210 210
226 199.026 15 1 1 1 210 210 210
226 201.759 15 1 0 0  210 
226 204.194 15 1 0 0  210 
226 206.699 15 0 0 0   
226 209.176 15 0 0 0   
226 211.188 15 0 0 0   
226 213.71 15 0 0 0   
226 216.207 15 0 0 0   
226 218.725 15 0 0 0   
226 221.25 15 0 0 0   
226 223.752 15 0 0 0   
226 226.259 15 0 0 0   
226 228.272 15 0 0 0   
226 230.309 15 1 1 1 211 211 211
226 232.422 15 1 2 2 211;213 211 211;213
226 234.911 15 2 2 2 211;213 211;213 211;213
226 237.474 16 2 2 2 211;213 211;213 211;213
226 239.985 17 2 1 1 213 211;213 213
226 243.085 17 2 0 0  211;213 
226 245.472 17 2 0 0  211;213 
226 248.27 17 2 0 0  211;213 
226 250.765 17 2 0 0  211;213 
226 253.331 17 2 0 0  211;213 
226 255.849 18 2 0 0  211;213 
226 258.36 18 1 0 0  211 
226 260.663 18 0 1 1 213  213
226 263.096 18 1 2 2 213;224 213 224;213
226 265.386 18 2 2 2 213;224 213;224 224;213
226 268.438 19 2 1 0 224 213;224 
226 271.127 19 2 1 1 213 213;224 213
226 274.349 19 2 0 0  213;224 
226 277.017 19 2 0 0  213;224 
226 279.338 19 2 0 0  213;224 
226 282.204 19 2 0 0  213;224 
226 284.406 20 1 0 0  224 
226 286.956 20 1 0 0  224 
226 289.409 20 1 0 0  224 
226 291.924 20 1 0 0  224 
226 294.413 20 0 0 0   
226 296.442 20 0 0 0   
226 298.967 21 0 0 0   
226 301.448 21 0 0 0   
226 303.501 21 1 1 1 217 217 217
226 305.987 21 1 1 1 217 217 217
226 308.504 21 1 1 1 217 217 217
226 310.715 21 1 0 0  217 
226 313.184 21 2 1 1 211 211;217 211
226 315.616 21 2 1 1 211 211;217 211
226 318.133 21 2 1 1 211 211;217 211
226 320.307 21 2 0 0  211;217 
226 322.71 22 1 0 0  211 
226 325.234 22 1 0 0  211 
226 327.841 22 0 0 0   
226 330.266 22 0 0 0   
