ID TIME BLK CHAINDATASIZE %CPU
209 65.101 7 210367 61.56
209 104.251 9 226416 62.17
209 156.587 12 240481 62.83
209 211.619 16 253514 63.62
209 239.708 18 255704 64.02
209 304.451 22 277659 64.79
209 339.375 24 300605 65.25
209 374.01 26 304706 65.67
209 430.586 30 324048 66.35
209 478.065 33 337708 66.9
209 515.249 35 351374 67.33
209 554.557 37 362114 67.76
209 605.858 41 382956 68.31
209 663.226 45 412900 68.9
209 710.048 48 426739 69.35
209 739.788 50 436719 69.64
209 786.538 53 453216 70.09
209 829.352 56 468198 70.49
209 870.821 59 478926 70.86
209 919.193 62 495369 71.21
209 977.526 66 505387 70.98
209 1024.604 69 522018 71.38
209 1055.919 71 532334 71.65
209 1099.273 74 542419 72.01
209 1143.074 77 567990 72.35
209 1190.128 80 587141 72.71
209 1234.134 83 596765 73.04
209 1295.149 87 618413 73.49
209 1323.021 89 630569 73.69
