ID TIME BLK VOTE
209 63.109 7 1948529
209 102.27 9 None
209 152.975 12 None
209 207.669 16 3296370
209 237.559 18 None
209 300.732 22 3606224
209 338.519 24 3239520
209 372.702 26 None
209 427.747 30 3554437
209 474.541 33 3466942
209 512.37 35 None
209 553.652 37 None
209 604.273 41 3276527
209 662.201 45 3268072
209 708.321 48 3278089
209 738.358 50 3292428
209 784.589 53 3402641
209 827.182 56 3389400
209 870.39 59 3412456
209 918.007 62 3424629
209 976.931 66 3380803
209 1022.427 69 3300556
209 1054.315 71 3376508
209 1098.21 74 3299932
209 1141.519 77 3252363
209 1188.931 80 3302594
209 1233.001 83 3288802
209 1293.353 87 3223893
209 1321.488 89 3197155
