ID TIME BLK CHAINDATASIZE %CPU
210 53.352 4 195860 63.2
210 118.954 10 225050 64.01
210 145.007 11 227788 64.25
210 208.994 16 246701 64.97
210 239.683 18 250181 65.38
210 291.149 21 264849 66.03
210 336.475 24 286431 66.6
210 385.462 27 294621 67.18
210 424.25 29 309847 67.63
210 462.989 32 320488 68.08
210 530.82 36 343335 68.84
210 559.446 38 353879 69.15
210 602.528 41 365653 69.59
210 652.062 44 397043 70.09
210 692.588 47 406826 70.48
210 739.687 50 426140 70.61
210 786.969 53 444951 71.06
210 828.344 56 459072 71.43
210 877.129 59 476108 71.85
210 919.652 62 493302 72.2
210 962.783 65 504651 72.54
210 1009.545 68 516201 72.85
210 1054.769 71 546830 73.21
210 1098.276 74 556915 73.55
210 1157.647 77 574101 73.99
210 1190.942 80 592942 74.23
210 1233.958 83 605523 74.54
210 1297.569 87 627130 74.97
210 1323.339 89 639249 75.15
