ID TIME BLK #BUFFER #GETH #ALLOWED BUFFERPEERS GETHPEERS ALLOWED
211 6.102 3 0 0 0   
211 6.485 3 0 1 1 222  222
211 7.005 3 0 1 1 222  222
211 7.496 3 0 1 1 222  222
211 8.014 3 0 1 1 222  222
211 9.538 3 0 1 1 222  222
211 9.646 3 0 1 1 222  222
211 10.17 3 0 1 1 222  222
211 10.64 3 1 1 1 222 222 222
211 11.167 3 1 1 1 222 222 222
211 11.671 3 1 1 1 222 222 222
211 12.142 3 1 1 1 222 222 222
211 12.654 3 1 1 1 222 222 222
211 13.153 3 1 1 1 222 222 222
211 13.669 3 1 1 1 222 222 222
211 14.159 3 1 1 1 222 222 222
211 14.688 3 1 1 1 222 222 222
211 15.17 4 1 1 1 222 222 222
211 15.711 4 1 1 1 222 222 222
211 16.199 4 1 1 1 222 222 222
211 16.748 4 1 1 1 222 222 222
211 17.243 4 1 1 1 222 222 222
211 17.757 4 1 1 1 222 222 222
211 18.569 4 1 0 0  222 
211 18.891 4 1 0 0  222 
211 19.434 4 1 1 1 217 222 217
211 19.957 4 2 1 1 217 217;222 217
211 20.428 4 2 1 0 217 217;222 
211 20.978 4 2 1 0 217 217;222 
211 21.464 4 2 1 0 217 217;222 
211 22.25 4 2 0 0  217;222 
211 22.556 4 2 0 0  217;222 
211 23.132 4 2 0 0  217;222 
211 23.557 4 2 0 0  217;222 
211 24.069 4 2 0 0  217;222 
211 24.587 4 2 0 0  217;222 
211 25.147 4 2 0 0  217;222 
211 25.601 4 2 0 0  217;222 
211 26.098 4 2 0 0  217;222 
211 26.553 4 1 0 0  217 
211 27.08 4 1 0 0  217 
211 27.559 4 1 0 0  217 
211 28.065 4 1 0 0  217 
211 28.567 4 1 0 0  217 
211 29.052 4 0 0 0   
211 29.563 4 0 0 0   
211 30.088 4 1 0 0  217 
211 30.584 4 1 0 0  217 
211 31.082 4 1 0 0  217 
211 31.585 4 1 0 0  217 
211 32.112 5 1 0 0  217 
211 32.606 5 1 0 0  217 
211 33.108 5 1 0 0  217 
211 33.621 5 1 0 0  217 
211 34.144 5 1 0 0  217 
211 34.615 5 1 0 0  217 
211 35.149 5 1 0 0  217 
211 35.639 5 1 0 0  217 
211 36.117 5 1 0 0  217 
211 36.662 5 1 0 0  217 
211 37.141 5 1 0 0  217 
211 37.657 5 1 0 0  217 
211 38.141 5 1 0 0  217 
211 38.637 5 1 0 0  217 
211 39.145 5 1 0 0  217 
211 39.651 5 1 0 0  217 
211 40.148 5 1 0 0  217 
211 40.66 5 1 0 0  217 
211 41.152 5 1 0 0  217 
211 41.656 5 1 0 0  217 
211 42.167 5 1 0 0  217 
211 42.669 5 1 0 0  217 
211 43.163 5 1 0 0  217 
211 43.662 5 1 0 0  217 
211 44.167 5 1 0 0  217 
211 44.68 5 1 0 0  217 
211 45.184 5 1 0 0  217 
211 45.709 5 1 1 1 224 217 224
211 46.249 5 1 1 1 224 217 224
211 46.702 6 1 1 1 224 217 224
211 47.308 6 1 1 1 224 217 224
211 47.765 6 1 1 1 224 217 224
211 48.348 6 1 1 0 224 217 
211 48.76 6 2 2 2 224;222 217;224 224;222
211 49.342 6 2 2 2 224;222 217;224 224;222
211 49.902 6 2 2 2 224;222 217;224 224;222
211 50.364 6 2 2 2 224;222 217;224 224;222
