ID TIME BLK #BUFFER #GETH #ALLOWED BUFFERPEERS GETHPEERS ALLOWED
222 5.55 3 0 0 0   
222 7.986 3 1 1 1 226 226 226
222 10.019 3 1 1 1 226 226 226
222 12.049 3 1 1 1 226 226 226
222 14.614 3 1 0 0  226 
222 17.145 4 1 0 0  226 
222 19.626 4 1 0 0  226 
222 22.126 4 0 0 0   
222 24.634 4 0 0 0   
222 26.698 4 1 1 1 214 214 214
222 29.21 4 2 2 2 214;213 213;214 213;214
222 31.89 4 2 2 2 213;226 213;214 213;226
222 34.349 4 2 2 2 226;213 213;214 213;226
222 37.317 4 2 0 0  213;214 
222 39.718 4 2 0 0  213;214 
222 41.922 4 2 0 0  213;226 
222 44.57 4 3 1 1 210 213;210;226 210
222 47.119 4 2 1 1 210 210;226 210
222 49.598 5 2 1 1 210 210;226 210
222 52.211 6 2 0 0  210;226 
222 54.899 6 2 0 0  210;226 
222 57.17 6 3 1 1 218 218;210;226 218
222 59.843 6 2 2 2 218;224 218;224 218;224
222 62.293 6 2 2 2 218;224 218;224 218;224
222 64.877 6 2 1 1 224 218;224 224
222 67.228 6 2 0 0  218;224 
222 69.692 6 2 0 0  218;224 
222 71.754 6 1 0 0  224 
222 74.417 6 1 0 0  224 
222 76.828 6 0 0 0   
222 79.336 6 0 0 0   
222 81.846 6 0 0 0   
222 84.383 6 1 1 0 210 210 
222 86.473 6 1 0 0  210 
222 88.566 8 1 0 0  210 
222 90.768 8 1 0 0  210 
222 93.133 8 1 0 0  210 
222 95.603 8 1 0 0  210 
222 97.711 8 1 1 1 211 210 211
222 100.794 8 2 2 1 211;209 211;210 211
222 103.413 8 3 1 1 209 209;211;210 209
222 106.348 9 3 1 1 209 209;211;210 209
222 108.521 9 3 1 1 209 209;211;210 209
222 111.709 9 4 1 1 226 209;211;210;226 226
222 115.032 9 4 1 0 209 209;211;210;226 
222 118.675 9 3 2 1 226;209 209;211;226 226
222 121.44 10 3 0 0  209;211;226 
222 124.104 10 3 1 1 209 209;211;226 209
222 126.559 10 3 0 0  209;211;226 
222 129.07 10 3 0 0  209;211;226 
222 131.519 10 4 1 1 213 209;213;211;226 213
222 134.027 10 2 1 1 213 213;226 213
222 136.414 11 2 1 1 213 213;226 213
222 138.531 11 1 1 1 213 213 213
222 141.079 11 1 1 1 213 213 213
222 143.607 11 1 0 0  213 
222 146.158 11 1 0 0  213 
222 148.254 12 1 0 0  213 
222 150.712 12 0 0 0   
222 152.814 12 2 2 2 226;211 211;226 211;226
222 155.301 12 2 2 2 226;211 211;226 211;226
222 157.703 12 2 2 2 226;211 211;226 211;226
222 160.949 12 2 1 1 217 211;226 217
222 163.577 12 3 0 0  211;217;226 
222 166.417 12 3 1 0 217 211;217;226 
222 168.759 13 3 0 0  211;217;226 
222 172.245 13 4 1 0 210 211;210;217;226 
222 178.234 13 5 2 1 210;224 211;224;210;217;226 210
222 181.414 14 3 1 0 224 224;210;217 
222 184.161 14 3 1 0 224 224;210;217 
222 186.924 14 3 1 1 224 224;210;217 224
222 191.154 14 3 0 0  224;210;217 
222 193.669 14 3 1 1 224 224;210;217 224
222 197.072 15 3 0 0  224;210;217 
222 199.759 15 2 1 1 224 224;210 224
222 202.824 15 2 0 0  224;210 
222 205.872 15 3 1 0 211 211;224;210 
222 208.531 15 2 0 0  211;224 
222 210.999 16 1 0 0  211 
222 213.351 16 2 1 1 211 211;224 211
222 215.727 16 1 0 0  211 
222 217.917 16 1 0 0  211 
222 221.243 16 2 2 1 211;224 211;224 224
222 224.141 16 1 0 0  211 
222 227.492 16 1 1 1 224 211 224
222 230.773 16 2 2 0 224;226 211;226 
222 235.317 16 2 2 0 226;214 214;226 
222 239.038 17 2 2 1 214;224 214;226 214
222 242.063 18 2 1 0 224 214;226 
222 244.968 18 2 0 0  214;226 
222 248.979 18 3 1 0 224 224;214;226 
222 252.011 18 3 0 0  224;214;226 
222 256.197 19 4 1 1 218 218;224;214;226 218
222 259.047 19 4 1 1 224 218;224;214;226 224
222 262.103 19 4 2 1 224;218 218;224;214;226 218
222 264.732 19 3 0 0  218;224;214 
222 267.52 19 3 2 1 224;217 218;214;226 217
222 270.928 20 3 2 0 224;217 218;214;217 
222 273.662 20 3 1 1 217 218;214;217 217
222 276.4 20 2 2 1 211;209 209;217 211
222 279.507 20 2 0 0  209;217 
222 282.217 20 2 0 0  209;217 
222 285.021 21 2 1 1 209 209;217 209
222 287.568 21 2 0 0  209;217 
222 290.402 21 2 1 0 226 209;217 
222 293.414 21 3 0 0  209;217;226 
222 296.128 21 3 1 0 226 209;217;226 
222 299.209 22 3 1 1 226 209;217;226 226
222 302.232 22 3 0 0  209;217;226 
222 304.836 22 2 1 1 226 209;226 226
222 308.087 22 2 2 1 226;217 217;226 226
222 310.625 22 2 1 1 217 217;226 217
222 313.12 22 2 1 1 217 217;226 217
222 315.816 23 2 1 1 217 217;226 217
222 318.229 23 1 0 0  217 
222 320.745 23 2 1 0 224 224;217 
222 323.486 23 2 0 0  224;217 
222 326.738 23 3 1 0 214 224;214;217 
