ID TIME BLK CHAINDATASIZE %CPU
224 55.007 5 196585 47.28
224 122.492 9 208784 48.16
224 155.778 12 225819 48.74
224 199.325 15 246053 49.5
224 242.592 18 253558 50.23
224 291.97 21 281178 50.99
224 356.969 25 294560 52.02
224 377.935 27 298608 52.35
224 415.552 29 304824 52.9
224 459.577 32 308865 53.01
224 514.696 36 324886 53.63
224 557.791 39 330927 54.21
224 599.502 41 344701 54.79
224 639.54 43 347557 54.9
224 691.269 47 360949 55.48
224 730.99 50 370985 55.89
224 775.492 53 381749 56.25
224 824.065 56 393762 56.64
224 870.624 59 402342 57.2
