ID TIME BLK VOTE
213 63.025 44 6151079
213 123.191 48 4142335
213 177.18 51 3731527
213 314.895 51 None
213 345.14 57 2750826
213 361.377 57 None
213 406.315 57 None
213 451.346 57 None
213 545.872 67 2731994
213 590.661 69 2669385
213 617.2 71 2530364
213 715.173 76 2626072
213 726.716 77 2648738
213 782.23 80 2572772
213 821.865 82 2742071
213 871.024 85 2662000
213 913.757 88 2647058
213 956.782 91 2526258
213 1007.895 94 2659169
213 1047.842 97 2755371
213 1093.02 100 2647151
213 1243.792 103 None
213 1256.753 107 2647621
213 1310.25 110 2682058
213 1342.475 112 2719275
213 1391.109 115 2744638
213 1434.435 118 2729768
213 1479.687 121 2722749
213 1631.943 125 2700852
