ID TIME BLK VOTE
211 63.635 7 4227941
211 238.622 18 3320063
211 253.89 19 3086510
211 289.28 21 None
211 334.203 23 None
211 396.783 28 2927844
211 441.651 31 3070898
211 466.766 32 None
211 516.119 35 None
211 571.799 39 3378378
211 618.505 42 3310968
211 663.552 45 3230811
211 710.708 48 3216119
211 751.652 51 3038312
211 796.485 54 2918758
211 854.966 57 2846982
211 886.57 60 2747454
211 937.494 63 2816602
211 979.881 66 2801249
211 1026.15 69 2919156
211 1056.66 71 None
211 1114.169 75 2878738
211 1157.893 78 2917709
211 1203.158 81 2973581
211 1264.29 85 2949421
211 1291.925 87 2987430
211 1337.069 90 3008075
