ID TIME BLK %CPU CHAINDATASIZE
214 64.738 44 316687 25.38
214 124.084 48 325531 25.6
214 161.455 50 332699 25.75
214 239.514 54 347974 26.0
214 256.318 55 350452 26.08
214 347.725 57 357169 26.53
214 414.464 59 370494 26.8
214 441.419 61 375754 27.0
214 551.367 66 387014 27.27
214 578.62 69 403317 27.48
214 662.398 73 426933 27.83
214 683.237 74 446116 28.0
214 726.997 77 456999 28.25
214 779.967 80 475069 28.52
214 806.843 82 490352 28.7
214 853.493 84 515007 28.94
214 901.742 87 558293 29.27
214 957.337 91 568983 29.58
214 1004.879 94 577005 29.72
214 1032.736 96 598319 29.91
214 1079.231 99 616119 30.12
214 1143.379 103 632089 30.4
214 1204.312 104 641389 30.56
214 1232.74 106 675435 30.77
214 1357.981 113 695930 31.35
214 1378.816 114 715646 31.5
214 1423.351 117 743236 31.82
214 1465.543 120 757654 32.11
214 1505.023 121 760050 32.34
214 1647.871 126 769503 32.48
