ID TIME BLK VOTE
222 62.758 7 4064748
222 251.592 19 2982315
222 286.175 21 3004143
222 307.122 22 2646028
222 346.102 24 None
222 395.226 28 3388392
222 455.628 32 3318654
222 482.019 33 None
222 555.953 38 3433774
222 586.386 40 3242996
222 633.44 43 3294748
222 678.347 46 3435013
222 723.788 49 3448705
222 766.401 52 3334115
222 813.753 55 3431939
222 858.022 58 3397463
222 888.976 60 None
222 935.165 63 None
222 993.528 67 3326649
222 1054.019 71 3358550
222 1095.615 73 3452907
222 1127.846 76 3555157
222 1174.192 79 3652703
222 1206.754 81 None
222 1247.247 82 None
222 1307.625 88 3618309
