ID TIME BLK BLOCK UBI PAY BALANCE MEAN #VOTES #OKVOTES C? BCSIZE CPU BLOCKHASH
224 260 4 4 40 0 0.01 5000000 0 0 False 164077 21.91
224 491 5 5 0 0 40.01 5000000 0 0 False 165566 22.14
224 619 6 6 20 0 40.01 5000000 0 0 False 166713 22.25
224 702 7 7 0 0 20.01 5000000 2 0 False 168734 22.28
224 1378 11 8 20 0 20.01 5000000 2 0 False 173161 22.62
224 1397 11 9 20 0 20.01 5000000 2 0 False 173161 22.63
224 1417 11 10 20 0 20.01 5000000 2 0 False 173161 22.64
224 1459 11 11 20 0 20.01 5000000 2 0 False 173265 22.67
224 1568 12 12 0 0 40.01 5000000 3 0 False 174905 22.78
224 1683 13 13 0 40 40.01 2828286 3 3 False 176205 22.88
224 1880 14 14 0 0 40.01 2828286 4 3 False 178033 22.98
224 2002 15 15 0 0 40.01 2828286 4 3 False 179375 23.01
224 2377 16 16 0 0 0.01 2828286 6 3 False 181207 23.2
224 2513 17 17 0 80 0.01 2770295 6 6 False 182507 23.2
224 2674 18 18 20 80 0.01 2770295 6 6 False 183758 23.23
224 2828 19 19 0 0 100.01 2770295 7 6 False 185885 23.32
224 3090 21 20 0 0 100.01 2770295 7 6 False 189235 23.46
224 3112 21 21 0 0 100.01 2770295 7 6 False 189235 23.46
224 3400 22 20 0 0 100.01 2770295 7 6 False 192899 23.58
224 3421 22 21 0 0 100.01 2770295 7 6 False 192899 23.59
224 3444 22 22 0 0 100.01 2770295 7 6 False 192899 23.6
224 3602 23 23 0 0 60.01 2770295 10 6 False 195828 23.72
224 3648 24 24 0 0 60.01 2801412 10 9 True 197169 23.74
224 3893 25 25 0 0 60.01 2801412 10 9 True 198212 23.88
224 4083 26 26 0 0 20.01 2801412 12 9 True 200041 23.99
224 4392 27 27 0 80 20.01 2693755 12 12 True 202384 24.11
224 4412 27 27 0 80 20.01 2693755 12 12 True 202384 24.12
224 4494 28 28 0 0 100.01 2693755 12 12 True 203578 24.12
224 4715 29 29 0 0 100.01 2693755 12 12 True 206036 24.3
224 4808 30 30 0 0 60.01 2693755 15 12 True 207906 24.33
