ID TIME BLK CHAINDATASIZE %CPU
218 70.973 7 210671 62.62
218 98.558 8 216084 62.82
218 144.304 11 228894 62.78
218 207.558 16 251621 63.7
218 251.13 19 256482 64.06
218 279.608 19 258791 63.94
218 341.447 24 296781 64.46
218 399.952 28 310448 65.06
218 423.658 29 317680 65.36
218 461.951 32 325308 65.83
218 512.699 35 338393 66.32
218 558.386 38 357123 66.84
218 606.2 41 377036 67.37
218 652.761 44 407459 67.88
218 711.155 48 430088 68.49
218 731.849 48 430192 68.7
218 784.749 53 453981 69.22
218 830.181 56 465786 69.65
218 872.551 59 474477 70.01
218 918.231 62 498677 70.12
218 985.449 66 513593 70.19
218 1015.146 68 526725 70.44
218 1054.251 71 548147 70.78
218 1098.061 74 558232 71.15
218 1144.211 77 587246 71.51
218 1189.456 80 607395 71.88
218 1234.659 83 620684 72.23
218 1294.817 87 637862 72.69
218 1320.878 89 643247 72.83
