ID TIME BLK BLOCK UBI PAY BALANCE MEAN #VOTES #OKVOTES C? BCSIZE CPU BLOCKHASH
209 206 4 3 40 0 0.01 5000000 0 0 False 165590 16.79
209 249 4 4 40 0 0.01 5000000 0 0 False 165590 16.84
209 274 5 4 40 0 0.01 5000000 0 0 False 167232 16.87
209 297 5 5 0 0 40.01 5000000 0 0 False 167232 16.89
209 671 7 6 20 0 0.01 5000000 2 0 False 172190 17.2
209 691 7 6 20 0 0.01 5000000 2 0 False 172190 17.21
209 719 7 6 20 0 0.01 5000000 2 0 False 172190 17.24
209 753 7 7 20 0 0.01 5000000 2 0 False 172294 17.28
209 1249 9 7 20 0 0.01 5000000 2 0 False 178399 17.47
209 1269 9 8 20 0 0.01 5000000 2 0 False 178399 17.48
209 1289 9 9 20 0 0.01 5000000 2 0 False 178399 17.49
209 1308 9 9 20 0 0.01 5000000 2 0 False 178399 17.5
209 1676 11 10 0 40 40.01 2557160 3 3 False 181384 17.78
209 1698 11 11 0 40 40.01 2557160 3 3 False 181384 17.8
209 1833 12 12 0 0 80.01 2557160 3 3 False 183614 17.95
209 1936 13 13 0 0 40.01 2557160 4 3 False 184852 17.99
209 2344 15 12 0 0 40.01 2557160 7 3 False 191578 18.28
209 2374 15 13 0 0 0.01 2557160 7 3 False 191578 18.31
209 2395 15 14 0 0 0.01 2557160 7 3 False 191578 18.34
209 2452 15 15 0 0 0.01 2557160 7 3 False 191578 18.39
209 2488 16 16 0 40 0.01 2821338 7 6 False 192878 18.41
209 3449 19 16 20 0 40.01 2821338 8 6 False 197854 18.89
209 3468 20 17 20 0 40.01 2821338 9 6 False 199389 18.9
209 3497 20 18 0 0 60.01 2821338 9 6 False 199389 18.92
209 3525 20 19 0 0 60.01 2821338 9 6 False 199389 18.96
209 3556 20 20 0 0 60.01 2821338 9 6 False 199493 18.98
209 4004 21 21 0 0 60.01 2821338 9 6 False 201632 19.22
209 4113 22 22 0 80 20.01 2737242 12 12 True 204391 19.33
209 4476 23 22 0 40 20.01 2576359 12 9 False 208813 19.51
209 4495 23 23 0 40 20.01 2576359 12 9 False 208813 19.52
209 4674 24 24 0 40 20.01 2576359 12 9 False 209960 19.61
209 4776 25 25 0 0 100.01 2737242 12 12 True 212196 19.62
