ID TIME #BUFFER #GETH #ALLOWED BUFFERPEERS GETHPEERS ALLOWED
109 0.157 1 0 0  105 
109 2.819 1 1 0 114 105 
109 4.895 2 2 2 114;212 114;105 212;114
109 7.039 3 2 2 114;212 114;105;212 212;114
109 9.224 2 2 2 114;212 114;105 212;114
109 11.343 1 1 1 114 105 114
109 13.548 1 1 1 114 105 114
109 15.69 1 1 1 114 105 114
109 17.749 1 0 0  105 
