ID TIME BLK #BLOCKS
224 15.956 4 1
224 19.055 4 1
224 33.094 5 2
224 36.182 5 1
224 45.712 6 1
224 61.103 7 1
224 65.413 7 1
224 76.932 8 1
224 80.31 8 1
224 91.638 9 1
224 106.803 10 1
224 110.738 10 2
224 120.977 11 1
224 137.102 12 1
224 152.027 13 1
224 154.5 13 1
224 167.393 14 1
224 169.711 14 1
224 182.559 15 1
224 184.125 15 1
224 195.422 16 1
224 210.685 17 1
224 214.542 17 1
224 227.278 18 1
224 229.529 18 1
224 240.931 19 1
224 257.115 20 1
224 259.67 20 1
224 270.986 21 1
224 287.37 22 1
224 290.542 22 1
224 300.591 23 1
224 304.378 23 1
