ID TIME BLK VOTE
226 188.5 10 None
226 361.057 13 None
226 482.848 24 None
226 549.482 27 None
226 561.326 28 None
226 773.551 32 None
226 821.008 39 None
226 868.377 42 None
226 1070.759 50 None
226 1131.096 52 None
226 1174.948 55 None
226 1191.063 56 None
226 1328.873 60 None
226 1354.132 62 None
226 1388.064 64 None
226 1457.69 67 None
226 1461.803 68 None
226 1479.731 69 None
226 1581.501 74 None
226 1613.566 76 None
226 1669.197 79 None
226 1699.485 81 None
226 1714.811 82 None
226 1769.515 83 None
