ID TIME BLK #BLOCKS
214 16.471 3 2
214 37.058 4 1
214 66.835 6 2
214 106.034 8 4
214 120.881 9 1
214 123.479 10 1
214 125.541 10 1
214 137.453 11 1
214 153.975 12 1
214 167.959 13 1
214 184.334 14 1
214 198.034 14 1
214 202.245 15 1
214 213.192 16 1
214 227.579 17 1
214 232.412 16 3
214 244.157 17 2
214 260.245 18 1
214 276.911 18 1
214 285.154 19 3
214 303.206 20 1
214 306.554 21 1
214 323.403 22 1
214 346.908 23 1
214 353.424 23 1
214 363.341 24 1
214 398.26 25 2
214 421.711 27 3
214 479.248 31 8
