ID TIME BLK VOTE
217 82.899 45 2194244
217 161.512 49 2718978
217 282.001 53 3805803
217 316.037 56 3495684
217 369.607 58 3430232
217 437.38 61 3436920
217 451.071 62 3610891
217 520.783 65 3848074
217 566.191 68 3607677
217 581.22 69 3651887
217 655.083 73 3555986
217 678.581 74 3566632
217 732.472 77 3459681
217 774.65 80 3420335
217 806.7 82 3359709
217 854.124 84 3435099
217 896.355 87 3353189
217 943.475 90 3414322
217 988.212 93 3428023
217 1048.008 97 3397137
217 1091.452 100 3314749
217 1123.504 102 3180984
217 1184.843 105 3054903
217 1226.514 105 2938435
217 1265.282 107 2835963
217 1310.709 110 2735502
217 1342.875 112 2641915
217 1388.077 115 2556400
217 1436.009 118 2474483
217 1594.395 118 None
