ID TIME #BUFFER #GETH #ALLOWED BUFFERPEERS GETHPEERS ALLOWED
114 0.083 0 0 0   
114 2.669 1 2 2 210;109 210 210;109
114 4.797 4 4 4 210;109;212;104 210;109;212;104 212;210;104;109
114 6.878 3 3 2 210;109;212 210;109;212 210;109
114 9.067 2 2 2 210;109 210;109 210;109
114 11.241 0 1 0 109  
114 13.452 0 1 1 109  109
114 15.66 0 1 1 109  109
114 17.86 0 0 0   
