ID TIME BLK %CPU CHAINDATASIZE
222 65.474 44 319879 26.65
222 145.827 49 331659 26.74
222 157.68 50 336031 26.83
222 242.293 54 351057 26.93
222 252.904 55 353223 26.98
222 392.62 58 364437 27.43
222 437.151 61 383236 27.67
222 453.171 62 385402 27.8
222 580.113 69 412405 28.17
222 593.472 70 421808 28.27
222 657.525 73 441361 28.57
222 704.512 75 453016 28.85
222 728.435 77 461782 29.04
222 777.301 80 479022 29.27
222 824.393 82 507341 29.41
222 883.394 85 517371 29.6
222 914.474 88 544520 29.84
222 983.481 92 555693 30.11
222 1006.116 94 560590 30.28
222 1051.874 97 590259 30.63
222 1093.61 100 600603 30.91
222 1153.226 103 614070 31.09
222 1205.334 105 630610 31.31
222 1221.871 105 644186 31.42
222 1285.332 108 715616 31.87
222 1314.099 110 728238 32.07
222 1376.389 114 749626 32.3
222 1404.689 116 774335 32.49
222 1451.037 119 798645 32.75
222 1506.512 121 806894 32.88
222 1648.27 122 808234 33.09
