ID TIME BLK VOTE
222 64.18 44 4280575
222 144.657 49 3777372
222 156.438 50 4144254
222 240.998 54 3835489
222 251.674 55 3715328
222 392.245 58 3932926
222 436.08 61 3962014
222 452.546 62 3729281
222 578.587 69 3628223
222 592.898 70 3405325
222 655.546 73 3268493
222 703.691 75 3191108
222 727.399 77 3147705
222 776.887 80 3253147
222 823.913 82 3168715
222 882.566 85 3153568
222 913.211 88 3178014
222 982.682 92 3224690
222 1004.869 94 3285317
222 1050.156 97 3267507
222 1093.342 100 3180949
222 1152.616 103 3101710
222 1204.392 105 3002055
222 1219.754 105 3020333
222 1282.429 108 3043775
222 1312.27 110 3096507
222 1375.721 113 3132731
222 1403.388 116 3087173
222 1450.852 119 3010376
222 1506.102 121 2983173
222 1648.145 122 None
