S1 S2 S3
356 233 679
349 229 332
487 320 964
377 801 943
811 612 744
489 678 847
355 232 415
376 245 322
369 243 320
373 249 315
367 241 312
364 240 320
506 246 316
957 826 551
957 842 949
957 847 952
957 844 953
958 871 954
956 883 955
828 802 952
643 799 952
942 790 951
949 792 947
952 789 946
956 847 953
950 777 945
867 655 865
966 960 964
815 631 841
760 577 663
780 570 295
783 334 291
783 222 293
399 223 296
342 224 294
347 225 294
345 230 302
347 230 305
345 228 303
346 228 301
347 228 303
358 233 311
379 256 332
354 231 303
647 232 303
963 273 352
392 256 335
439 294 370
431 293 388
341 231 298
344 228 298
341 226 298
339 224 295
337 219 291
335 218 285
341 224 292
339 222 289
341 223 293
344 224 298
346 225 295
502 226 294
943 506 302
951 263 302
786 235 301
367 233 301
489 316 417
951 236 303
955 258 333
526 236 317
352 229 315
345 229 304
346 226 302
333 219 290
333 215 281
346 227 297
480 238 305
967 956 391
963 267 332
411 251 324
408 221 289
847 224 291
356 225 300
351 228 299
354 228 298
349 229 298
342 226 297
346 230 299
361 245 320
370 250 330
380 263 353
364 256 339
394 246 325
406 271 347
339 224 291
347 232 301
353 240 310
355 242 320
372 248 335
370 249 334
378 251 332
495 320 399
497 317 404
449 294 365
410 278 349
383 256 327
382 259 325
420 286 365
954 362 383
961 832 946
959 824 882
960 847 911
963 905 946
963 943 954
962 935 956
435 285 361
396 259 344
408 270 351
402 273 363
403 278 384
395 265 483
384 256 514
378 248 320
385 256 325
384 257 334
376 248 317
365 240 311
366 238 307
957 772 320
961 871 333
964 889 345
964 718 349
963 477 345
957 331 324
512 478 493
354 697 948
371 832 956
401 939 959
392 870 956
394 854 955
433 832 954
359 241 372
349 228 307
350 230 303
502 327 421
370 243 316
462 283 353
489 324 374
418 256 314
425 263 327
394 256 324
367 635 314
893 762 907
933 746 926
875 678 868
882 675 869
955 872 956
967 960 964
959 888 954
958 894 955
960 935 958
960 942 956
966 959 964
963 953 961
962 952 961
958 908 957
950 790 947
511 287 310
910 229 302
946 311 306
968 960 412
967 960 965
962 951 959
961 932 957
958 881 954
956 869 955
817 809 950
360 372 937
354 235 361
360 231 312
353 232 308
355 239 312
358 240 320
370 245 321
362 236 308
357 235 306
359 238 306
353 230 300
353 228 300
353 232 303
362 234 305
364 239 314
366 240 309
360 237 304
354 230 302
352 231 303
347 229 302
350 235 312
359 238 314
376 256 335
399 268 956
415 890 960
961 952 960
962 937 956
956 881 954
968 961 965
958 890 957
963 953 962
962 947 960
960 911 957
376 256 334
354 236 317
343 224 298
355 229 300
375 239 307
399 262 325
417 270 346
417 281 355
419 271 357
431 286 367
398 265 345
380 256 338
358 242 325
829 627 834
861 640 832
918 693 849
966 955 959
808 581 707
811 571 693
702 493 617
719 370 329
332 216 283
332 217 285
331 217 286
344 230 311
424 295 404
448 310 421
429 308 416
396 278 396
469 308 427
463 317 428
764 327 429
504 327 427
502 325 421
477 310 395
471 303 391
448 288 369
423 271 342
416 265 334
403 256 332
406 256 331
408 261 340
408 256 324
405 257 326
426 266 332
422 275 353
421 271 344
418 273 345
389 257 330
359 241 313
447 307 409
504 329 425
492 312 408
388 256 328
359 236 312
354 234 308
346 231 303
344 226 304
342 222 303
344 228 309
402 564 809
744 715 891
389 709 888
363 725 903
363 625 897
363 281 875
356 234 517
354 228 300
493 320 418
345 225 295
376 248 326
350 233 307
410 276 374
442 300 380
361 233 305
364 238 307
362 236 310
384 256 338
397 268 367
412 278 385
385 263 359
375 256 343
380 257 344
495 320 428
417 281 374
423 288 371
414 280 364
485 320 410
404 271 805
586 770 948
952 798 949
956 838 950
958 861 952
959 900 954
959 914 953
725 917 953
390 387 331
373 242 310
369 248 312
378 248 321
495 322 399
392 256 317
370 243 303
371 247 317
938 333 314
902 427 309
839 498 301
691 461 292
673 462 281
699 495 284
649 390 286
334 221 292
358 239 307
389 259 332
469 307 379
447 289 359
436 287 361
963 943 952
959 862 942
963 947 952
959 878 941
959 844 931
967 960 429
957 811 338
967 623 420
966 301 385
956 245 315
950 243 310
844 244 320
427 246 320
347 222 292
345 224 298
337 219 294
335 218 295
342 223 301
344 225 301
353 229 300
367 239 316
378 243 317
374 245 321
360 238 317
348 230 303
481 320 412
369 251 335
339 224 293
350 234 291
366 239 310
386 243 312
392 256 320
387 251 320
386 256 325
375 245 317
389 248 316
959 704 332
963 948 955
961 936 954
960 902 952
958 849 945
958 845 899
957 811 344
960 815 322
968 960 964
968 960 964
967 960 965
968 960 965
968 960 964
967 960 964
967 960 965
967 330 415
410 271 360
371 248 323
367 245 321
374 247 320
361 243 313
360 239 320
363 244 320
367 245 320
367 246 320
374 256 316
377 250 325
359 238 307
366 234 309
378 256 327
398 263 356
421 284 381
399 262 345
386 250 328
359 236 303
354 227 294
339 220 281
335 213 274
335 214 274
336 214 275
337 214 274
335 214 275
335 216 276
341 225 282
350 230 295
360 238 307
374 256 327
388 261 346
385 263 345
381 258 342
379 261 348
382 266 349
395 270 356
379 261 341
369 249 330
367 249 330
373 248 317
439 298 399
371 246 320
477 320 416
415 288 366
342 228 310
475 320 420
397 278 365
380 271 345
363 259 330
351 259 321
363 359 750
885 723 935
948 753 942
954 794 948
955 799 948
957 832 949
960 879 955
956 872 955
953 826 951
492 838 953
367 737 947
361 306 923
365 263 918
363 260 364
363 261 312
357 251 299
353 249 301
344 246 298
340 245 293
344 248 297
347 248 298
339 241 286
345 243 290
381 251 297
915 453 298
953 736 320
957 804 765
968 961 419
955 242 308
355 231 301
369 241 323
352 233 313
347 231 316
346 232 308
347 238 309
349 231 307
353 236 303
358 238 304
398 241 306
953 739 838
