blue 103 144 108
blue 103 171 123
blue 103 179 124
blue 104 162 127
blue 105 159 122
blue 106 144 115
blue 107 138 118
green 77 211 139
green 77 230 136
green 77 234 141
green 79 224 142
green 79 225 137
green 80 239 143
green 80 249 141
red 170 195 188
red 170 195 196
red 170 198 197
red 170 210 200
red 170 217 207
red 170 218 202
red 171 207 199
