ID TIME BLK VOTE
209 67.766 3 None
209 112.788 3 None
209 177.53 10 3508557
209 204.058 11 None
209 489.605 16 None
209 491.68 16 None
209 536.861 17 None
209 581.659 19 None
209 635.233 22 3406319
209 672.272 22 None
209 718.167 22 None
209 761.905 23 None
209 818.387 28 3543627
209 859.147 29 3589379
209 904.926 32 3433897
209 942.091 32 None
209 987.068 32 None
209 1032.129 37 None
209 1077.126 37 None
209 1122.204 37 None
209 1170.444 39 None
209 1212.203 39 None
209 1269.527 45 3426202
209 1388.453 49 3349514
209 1399.868 50 3400049
