ID TIME BLK VOTE
210 62.82 44 5863309
210 177.054 51 3375912
210 299.931 53 None
210 345.821 54 3149010
210 351.626 54 None
210 435.712 61 3317051
210 439.806 61 None
210 602.075 70 3348887
210 631.007 72 3117512
210 657.6 73 3217506
210 733.509 77 3165592
210 758.636 79 3171015
210 808.082 82 3160124
210 856.312 84 3120461
210 904.591 87 3193294
210 920.023 88 None
210 1006.777 94 3213207
210 1034.16 96 3240474
210 1091.694 100 3199655
210 1108.197 101 3159195
210 1184.71 104 3150836
210 1202.91 105 3203692
210 1249.774 107 3163833
210 1311.627 110 3158415
210 1359.149 113 3156531
210 1402.849 116 3133876
210 1421.738 117 3112776
210 1582.568 120 None
210 1598.346 124 3103720
